no,male,female,age,regular,daytime,others,enrolement  year,attendance,last month attendance,2 months ago attendance,3 months ago attendance,withdrawal,enrollement
4332,0,1,24,1,0,0,0,18,3,2,1,1,0
4333,0,1,21,1,0,0,0,17,0,0,3,1,0
4334,1,0,28,1,0,0,0,3,0,0,0,1,0
4335,0,1,25,1,0,0,0,6,0,0,3,1,0
4336,1,0,45,1,0,0,0,18,5,4,3,1,0
4337,0,1,23,1,0,0,0,15,5,3,3,1,0
4338,0,1,28,1,0,0,0,3,0,0,1,1,0
4339,0,1,20,1,0,0,0,3,0,0,0,1,0
4340,0,1,22,1,0,0,0,6,0,0,4,1,0
4341,0,1,45,1,0,0,0,4,0,1,2,1,0
4342,0,1,21,1,0,0,0,13,5,4,4,1,0
4343,1,0,18,1,0,0,0,9,0,3,5,1,0
4344,0,1,21,1,0,0,0,7,1,2,4,1,0
4345,1,0,32,1,0,0,0,11,4,3,4,1,0
4346,1,0,23,1,0,0,0,6,0,2,4,1,0
4347,1,0,29,1,0,0,0,4,0,2,2,1,0
4348,0,1,37,1,0,0,0,2,0,0,2,1,0
4349,0,1,24,1,0,0,0,1,0,0,1,1,0
4350,1,0,62,1,0,0,0,11,1,8,2,1,0
4351,0,1,50,1,0,0,0,16,2,11,3,1,0
4352,1,0,19,1,0,0,0,18,4,9,3,1,0
4353,0,1,26,1,0,0,0,1,0,0,1,1,0
4354,0,1,34,1,0,0,0,41,8,25,2,1,0
4355,1,0,32,1,0,0,0,33,12,10,0,1,0
4356,1,0,31,1,0,0,0,7,3,0,0,1,0
4357,1,0,25,1,0,0,0,4,1,3,0,1,0
4358,0,1,46,1,0,0,0,5,2,3,0,1,0
4359,0,1,21,1,0,0,0,0,0,0,0,1,0
4360,0,1,26,1,0,0,0,15,8,6,0,1,0
4361,0,1,67,1,0,0,0,3,3,0,0,1,0
4362,1,0,26,1,0,0,0,18,9,0,0,1,0
4363,0,1,16,1,0,0,0,51,1,5,10,1,0
4364,0,1,68,1,0,0,0,44,1,1,1,1,0
4365,0,1,21,1,0,0,0,27,1,8,11,1,0
4366,1,0,45,1,0,0,0,10,2,0,0,1,0
4367,1,0,14,1,0,0,0,3,2,0,0,1,0
4368,1,0,50,1,0,0,0,8,4,0,0,1,0
4369,0,1,19,1,0,0,0,9,0,0,0,1,0
4370,1,0,37,1,0,0,2,20,0,0,0,1,0
4371,0,1,82,1,0,0,2,198,9,9,3,1,0
4372,1,0,25,1,0,0,2,125,2,4,6,1,0
4373,0,1,56,1,0,0,2,104,7,3,2,1,0
4374,1,0,54,1,0,0,2,282,1,12,16,1,0
4375,1,0,64,1,0,0,2,659,23,26,23,1,0
4376,1,0,69,1,0,0,2,60,0,1,4,1,0
4377,0,1,67,1,0,0,2,31,0,0,0,1,0
4378,1,0,77,1,0,0,2,177,4,2,5,1,0
4379,0,1,76,1,0,0,2,49,0,3,1,1,0
4380,0,1,43,1,0,0,2,47,1,2,1,1,0
4381,1,0,64,1,0,0,2,210,8,7,12,1,0
4382,1,0,71,1,0,0,2,249,0,0,3,1,0
4383,0,1,67,1,0,0,2,148,5,3,2,1,0
4384,0,1,64,1,0,0,2,268,5,5,11,1,0
4385,1,0,23,1,0,0,2,30,0,0,0,1,0
4386,1,0,41,1,0,0,2,2,0,0,0,1,0
4387,1,0,27,1,0,0,2,115,0,3,11,1,0
4388,0,1,56,1,0,0,2,43,0,0,0,1,0
4389,0,1,62,1,0,0,2,288,16,12,11,1,0
4390,0,1,50,1,0,0,2,96,1,0,2,1,0
4391,0,1,35,1,0,0,2,75,0,0,0,1,0
4392,0,1,57,1,0,0,2,102,1,3,2,1,0
4393,0,1,31,1,0,0,2,92,0,2,1,1,0
4394,0,1,46,1,0,0,2,61,1,1,1,1,0
4395,1,0,34,1,0,0,2,7,0,0,0,1,0
4396,1,0,29,1,0,0,2,40,0,2,0,1,0
4397,0,1,52,1,0,0,2,6,1,0,0,1,0
4398,0,1,25,1,0,0,2,266,5,5,8,1,0
4399,0,1,25,1,0,0,2,0,0,0,0,1,0
4400,0,1,44,1,0,0,2,160,2,4,0,1,0
4401,1,0,34,1,0,0,2,172,5,6,5,1,0
4402,0,1,56,1,0,0,2,109,1,5,4,1,0
4403,1,0,59,1,0,0,2,28,2,1,0,1,0
4404,1,0,64,1,0,0,2,257,5,8,3,1,0
4405,0,1,52,1,0,0,2,526,22,22,20,1,0
4223,0,1,73,0,1,0,2,182,3,6,7,1,0
4224,0,1,65,0,1,0,2,346,12,12,17,1,0
4225,0,1,89,0,1,0,2,47,0,0,0,1,0
4226,0,1,65,0,1,0,2,37,0,1,0,1,0
4227,0,1,49,0,1,0,2,87,2,6,6,1,0
4228,0,1,63,0,1,0,2,87,0,2,4,1,0
4229,0,1,23,0,0,1,0,1,0,0,0,1,0
4230,0,1,68,0,0,1,2,438,24,23,24,1,0
4231,1,0,53,0,0,1,2,320,17,10,15,1,0
4232,1,0,41,1,0,0,2,142,9,12,11,1,0
4233,0,1,61,1,0,0,2,57,1,1,2,1,0
4234,1,0,60,1,0,0,2,79,0,0,0,1,0
4235,0,1,48,1,0,0,1,247,12,10,9,1,0
4236,0,1,41,1,0,0,1,8,0,0,0,1,0
4237,0,1,64,1,0,0,1,36,1,0,2,1,0
4238,0,1,26,1,0,0,2,27,0,0,1,1,0
4239,1,0,28,1,0,0,1,26,0,2,3,1,0
4240,0,1,25,1,0,0,1,5,0,0,1,1,0
4241,1,0,34,1,0,0,1,66,1,0,0,1,0
4242,0,1,34,1,0,0,1,7,0,0,0,1,0
4243,1,0,31,1,0,0,1,49,0,1,3,1,0
4244,1,0,45,1,0,0,1,84,2,2,3,1,0
4245,1,0,21,1,0,0,1,23,0,2,0,1,0
4246,1,0,33,1,0,0,1,103,7,4,7,1,0
4247,1,0,41,1,0,0,1,63,6,4,3,1,0
4248,1,0,26,1,0,0,1,27,2,1,0,1,0
4249,0,1,32,1,0,0,1,69,3,8,3,1,0
4250,1,0,33,1,0,0,1,49,1,0,4,1,0
4251,1,0,41,1,0,0,1,100,1,1,3,1,0
4252,0,1,21,1,0,0,1,25,0,3,0,1,0
4253,0,1,24,1,0,0,1,23,0,0,2,1,0
4254,1,0,36,1,0,0,1,22,0,0,0,1,0
4255,1,0,28,1,0,0,1,23,0,0,1,1,0
4256,1,0,32,1,0,0,1,113,5,8,7,1,0
4257,1,0,29,1,0,0,1,35,0,1,0,1,0
4258,0,1,25,1,0,0,1,64,6,3,3,1,0
4259,0,1,40,1,0,0,1,66,1,4,5,1,0
4260,1,0,21,1,0,0,1,35,0,1,2,1,0
4261,0,1,62,1,0,0,1,3,0,0,0,1,0
4262,0,1,28,1,0,0,0,3,0,0,0,1,0
4263,0,1,33,1,0,0,0,31,0,0,3,1,0
4264,0,1,63,1,0,0,0,99,0,2,13,1,0
4265,1,0,22,1,0,0,0,79,11,9,4,1,0
4266,0,1,44,1,0,0,0,112,9,5,5,1,0
4267,0,1,51,1,0,0,0,15,0,1,0,1,0
4268,1,0,27,1,0,0,0,46,3,8,5,1,0
4269,1,0,20,1,0,0,0,24,0,0,0,1,0
4270,1,0,21,1,0,0,1,42,0,1,2,1,0
4271,0,1,27,1,0,0,0,24,1,2,5,1,0
4272,0,1,31,1,0,0,0,19,2,2,3,1,0
4273,0,1,69,1,0,0,0,107,7,14,15,1,0
4274,0,1,67,1,0,0,0,117,12,18,10,1,0
4275,0,1,21,1,0,0,0,39,4,11,8,1,0
4276,1,0,25,1,0,0,0,20,0,2,1,1,0
4277,1,0,26,1,0,0,0,19,0,2,1,1,0
4278,0,1,47,1,0,0,0,7,1,0,0,1,0
4279,1,0,24,1,0,0,0,28,1,3,2,1,0
4280,0,1,21,1,0,0,0,16,0,0,0,1,0
4281,0,1,47,1,0,0,0,148,20,16,14,1,0
4282,0,1,23,1,0,0,0,12,0,0,0,1,0
4283,1,0,19,1,0,0,0,20,0,1,1,1,0
4284,0,1,23,1,0,0,0,28,3,2,1,1,0
4285,0,1,52,1,0,0,0,7,0,2,2,1,0
4286,0,1,28,1,0,0,0,8,0,0,0,1,0
4287,1,0,34,1,0,0,0,7,0,0,0,1,0
4288,0,1,38,1,0,0,0,15,0,3,2,1,0
4289,1,0,21,1,0,0,0,18,0,4,2,1,0
4290,1,0,18,1,0,0,0,57,7,6,4,1,0
4291,0,1,30,1,0,0,0,31,0,2,0,1,0
4292,0,1,23,1,0,0,0,12,0,1,1,1,0
4293,0,1,23,1,0,0,0,11,0,1,1,1,0
4294,1,0,30,1,0,0,0,34,1,4,4,1,0
4295,0,1,26,1,0,0,0,5,0,1,0,1,0
4296,1,0,23,1,0,0,0,27,1,3,3,1,0
4297,0,1,21,1,0,0,0,2,0,0,0,1,0
4298,1,0,28,1,0,0,0,12,1,0,4,1,0
4299,1,0,26,1,0,0,0,15,1,1,1,1,0
4300,0,1,26,1,0,0,0,12,1,0,4,1,0
4301,1,0,40,1,0,0,0,29,2,6,3,1,0
4302,0,1,23,1,0,0,0,17,0,1,1,1,0
4303,0,1,21,1,0,0,0,0,0,0,0,1,0
4304,0,1,66,1,0,0,0,32,1,1,5,1,0
4305,0,1,27,1,0,0,0,21,0,3,0,1,0
4306,0,1,21,1,0,0,0,9,0,0,1,1,0
4307,1,0,34,1,0,0,0,27,6,7,5,1,0
4308,0,1,43,1,0,0,0,22,2,10,7,1,0
4309,0,1,61,1,0,0,0,3,0,0,0,1,0
4310,0,1,20,1,0,0,0,5,0,0,0,1,0
4311,0,1,20,1,0,0,0,4,0,1,0,1,0
4312,1,0,37,1,0,0,0,7,0,0,1,1,0
4313,0,1,24,1,0,0,0,7,0,0,1,1,0
4314,0,1,30,1,0,0,0,46,9,6,7,1,0
4315,0,1,56,1,0,0,0,15,0,2,4,1,0
4316,1,0,46,1,0,0,0,54,5,16,12,1,0
4317,1,0,28,1,0,0,0,87,17,11,8,1,0
4318,0,1,37,1,0,0,0,23,2,3,4,1,0
4319,0,1,23,1,0,0,0,16,1,1,3,1,0
4320,1,0,22,1,0,0,0,33,5,9,7,1,0
4321,1,0,23,1,0,0,0,9,0,1,1,1,0
4322,1,0,31,1,0,0,0,29,2,6,5,1,0
4323,0,1,32,1,0,0,0,34,6,10,4,1,0
4324,1,0,23,1,0,0,0,27,0,6,4,1,0
4325,1,0,41,1,0,0,0,14,0,0,5,1,0
4326,0,1,29,1,0,0,0,39,1,11,10,1,0
4327,1,0,28,1,0,0,0,20,1,5,3,1,0
4328,1,0,27,1,0,0,0,22,2,5,5,1,0
4329,1,0,56,1,0,0,0,1,0,0,1,1,0
4330,1,0,20,1,0,0,0,10,0,0,0,1,0
4331,0,1,27,1,0,0,0,31,6,3,8,1,0
4332,0,1,24,1,0,0,0,18,3,2,1,1,0
4333,0,1,21,1,0,0,0,17,0,0,3,1,0
4334,1,0,28,1,0,0,0,3,0,0,0,1,0
4335,0,1,25,1,0,0,0,6,0,0,3,1,0
4336,1,0,45,1,0,0,0,18,5,4,3,1,0
4337,0,1,23,1,0,0,0,15,5,3,3,1,0
4338,0,1,28,1,0,0,0,3,0,0,1,1,0
4339,0,1,20,1,0,0,0,3,0,0,0,1,0
4340,0,1,22,1,0,0,0,6,0,0,4,1,0
4341,0,1,45,1,0,0,0,4,0,1,2,1,0
4342,0,1,21,1,0,0,0,13,5,4,4,1,0
4343,1,0,18,1,0,0,0,9,0,3,5,1,0
4344,0,1,21,1,0,0,0,7,1,2,4,1,0
4345,1,0,32,1,0,0,0,11,4,3,4,1,0
4346,1,0,23,1,0,0,0,6,0,2,4,1,0
4347,1,0,29,1,0,0,0,4,0,2,2,1,0
4348,0,1,37,1,0,0,0,2,0,0,2,1,0
4349,0,1,24,1,0,0,0,1,0,0,1,1,0
4350,1,0,62,1,0,0,0,11,1,8,2,1,0
4351,0,1,50,1,0,0,0,16,2,11,3,1,0
4352,1,0,19,1,0,0,0,18,4,9,3,1,0
4353,0,1,26,1,0,0,0,1,0,0,1,1,0
4354,0,1,34,1,0,0,0,41,8,25,2,1,0
4355,1,0,32,1,0,0,0,33,12,10,0,1,0
4356,1,0,31,1,0,0,0,7,3,0,0,1,0
4357,1,0,25,1,0,0,0,4,1,3,0,1,0
4358,0,1,46,1,0,0,0,5,2,3,0,1,0
4359,0,1,21,1,0,0,0,0,0,0,0,1,0
4360,0,1,26,1,0,0,0,15,8,6,0,1,0
4361,0,1,67,1,0,0,0,3,3,0,0,1,0
4362,1,0,26,1,0,0,0,18,9,0,0,1,0
4363,0,1,16,1,0,0,0,51,1,5,10,1,0
4364,0,1,68,1,0,0,0,44,1,1,1,1,0
4365,0,1,21,1,0,0,0,27,1,8,11,1,0
4366,1,0,45,1,0,0,0,10,2,0,0,1,0
4367,1,0,14,1,0,0,0,3,2,0,0,1,0
4368,1,0,50,1,0,0,0,8,4,0,0,1,0
4369,0,1,19,1,0,0,0,9,0,0,0,1,0
4370,1,0,37,1,0,0,2,20,0,0,0,1,0
4371,0,1,82,1,0,0,2,198,9,9,3,1,0
4372,1,0,25,1,0,0,2,125,2,4,6,1,0
4373,0,1,56,1,0,0,2,104,7,3,2,1,0
4374,1,0,54,1,0,0,2,282,1,12,16,1,0
4375,1,0,64,1,0,0,2,659,23,26,23,1,0
4376,1,0,69,1,0,0,2,60,0,1,4,1,0
4377,0,1,67,1,0,0,2,31,0,0,0,1,0
4378,1,0,77,1,0,0,2,177,4,2,5,1,0
4379,0,1,76,1,0,0,2,49,0,3,1,1,0
4380,0,1,43,1,0,0,2,47,1,2,1,1,0
4381,1,0,64,1,0,0,2,210,8,7,12,1,0
4382,1,0,71,1,0,0,2,249,0,0,3,1,0
4383,0,1,67,1,0,0,2,148,5,3,2,1,0
4384,0,1,64,1,0,0,2,268,5,5,11,1,0
4385,1,0,23,1,0,0,2,30,0,0,0,1,0
4386,1,0,41,1,0,0,2,2,0,0,0,1,0
4387,1,0,27,1,0,0,2,115,0,3,11,1,0
4388,0,1,56,1,0,0,2,43,0,0,0,1,0
4389,0,1,62,1,0,0,2,288,16,12,11,1,0
4390,0,1,50,1,0,0,2,96,1,0,2,1,0
4391,0,1,35,1,0,0,2,75,0,0,0,1,0
4392,0,1,57,1,0,0,2,102,1,3,2,1,0
4393,0,1,31,1,0,0,2,92,0,2,1,1,0
4394,0,1,46,1,0,0,2,61,1,1,1,1,0
4395,1,0,34,1,0,0,2,7,0,0,0,1,0
4396,1,0,29,1,0,0,2,40,0,2,0,1,0
4397,0,1,52,1,0,0,2,6,1,0,0,1,0
4398,0,1,25,1,0,0,2,266,5,5,8,1,0
4399,0,1,25,1,0,0,2,0,0,0,0,1,0
4400,0,1,44,1,0,0,2,160,2,4,0,1,0
4401,1,0,34,1,0,0,2,172,5,6,5,1,0
4402,0,1,56,1,0,0,2,109,1,5,4,1,0
4403,1,0,59,1,0,0,2,28,2,1,0,1,0
4404,1,0,64,1,0,0,2,257,5,8,3,1,0
4405,0,1,52,1,0,0,2,526,22,22,20,1,0
4223,0,1,73,0,1,0,2,182,3,6,7,1,0
4224,0,1,65,0,1,0,2,346,12,12,17,1,0
4225,0,1,89,0,1,0,2,47,0,0,0,1,0
4226,0,1,65,0,1,0,2,37,0,1,0,1,0
4227,0,1,49,0,1,0,2,87,2,6,6,1,0
4228,0,1,63,0,1,0,2,87,0,2,4,1,0
4229,0,1,23,0,0,1,0,1,0,0,0,1,0
4230,0,1,68,0,0,1,2,438,24,23,24,1,0
4231,1,0,53,0,0,1,2,320,17,10,15,1,0
4232,1,0,41,1,0,0,2,142,9,12,11,1,0
4233,0,1,61,1,0,0,2,57,1,1,2,1,0
4234,1,0,60,1,0,0,2,79,0,0,0,1,0
4235,0,1,48,1,0,0,1,247,12,10,9,1,0
4236,0,1,41,1,0,0,1,8,0,0,0,1,0
4237,0,1,64,1,0,0,1,36,1,0,2,1,0
4238,0,1,26,1,0,0,2,27,0,0,1,1,0
4239,1,0,28,1,0,0,1,26,0,2,3,1,0
4240,0,1,25,1,0,0,1,5,0,0,1,1,0
4241,1,0,34,1,0,0,1,66,1,0,0,1,0
4242,0,1,34,1,0,0,1,7,0,0,0,1,0
4243,1,0,31,1,0,0,1,49,0,1,3,1,0
4244,1,0,45,1,0,0,1,84,2,2,3,1,0
4245,1,0,21,1,0,0,1,23,0,2,0,1,0
4246,1,0,33,1,0,0,1,103,7,4,7,1,0
4247,1,0,41,1,0,0,1,63,6,4,3,1,0
4248,1,0,26,1,0,0,1,27,2,1,0,1,0
4249,0,1,32,1,0,0,1,69,3,8,3,1,0
4250,1,0,33,1,0,0,1,49,1,0,4,1,0
4251,1,0,41,1,0,0,1,100,1,1,3,1,0
4252,0,1,21,1,0,0,1,25,0,3,0,1,0
4253,0,1,24,1,0,0,1,23,0,0,2,1,0
4254,1,0,36,1,0,0,1,22,0,0,0,1,0
4255,1,0,28,1,0,0,1,23,0,0,1,1,0
4256,1,0,32,1,0,0,1,113,5,8,7,1,0
4257,1,0,29,1,0,0,1,35,0,1,0,1,0
4258,0,1,25,1,0,0,1,64,6,3,3,1,0
4259,0,1,40,1,0,0,1,66,1,4,5,1,0
4260,1,0,21,1,0,0,1,35,0,1,2,1,0
4261,0,1,62,1,0,0,1,3,0,0,0,1,0
4262,0,1,28,1,0,0,0,3,0,0,0,1,0
4263,0,1,33,1,0,0,0,31,0,0,3,1,0
4264,0,1,63,1,0,0,0,99,0,2,13,1,0
4265,1,0,22,1,0,0,0,79,11,9,4,1,0
4266,0,1,44,1,0,0,0,112,9,5,5,1,0
4267,0,1,51,1,0,0,0,15,0,1,0,1,0
4268,1,0,27,1,0,0,0,46,3,8,5,1,0
4269,1,0,20,1,0,0,0,24,0,0,0,1,0
4270,1,0,21,1,0,0,1,42,0,1,2,1,0
4271,0,1,27,1,0,0,0,24,1,2,5,1,0
4272,0,1,31,1,0,0,0,19,2,2,3,1,0
4273,0,1,69,1,0,0,0,107,7,14,15,1,0
4274,0,1,67,1,0,0,0,117,12,18,10,1,0
4275,0,1,21,1,0,0,0,39,4,11,8,1,0
4276,1,0,25,1,0,0,0,20,0,2,1,1,0
4277,1,0,26,1,0,0,0,19,0,2,1,1,0
4278,0,1,47,1,0,0,0,7,1,0,0,1,0
4279,1,0,24,1,0,0,0,28,1,3,2,1,0
4280,0,1,21,1,0,0,0,16,0,0,0,1,0
4281,0,1,47,1,0,0,0,148,20,16,14,1,0
4282,0,1,23,1,0,0,0,12,0,0,0,1,0
4283,1,0,19,1,0,0,0,20,0,1,1,1,0
4284,0,1,23,1,0,0,0,28,3,2,1,1,0
4285,0,1,52,1,0,0,0,7,0,2,2,1,0
4286,0,1,28,1,0,0,0,8,0,0,0,1,0
4287,1,0,34,1,0,0,0,7,0,0,0,1,0
4288,0,1,38,1,0,0,0,15,0,3,2,1,0
4289,1,0,21,1,0,0,0,18,0,4,2,1,0
4290,1,0,18,1,0,0,0,57,7,6,4,1,0
4291,0,1,30,1,0,0,0,31,0,2,0,1,0
4292,0,1,23,1,0,0,0,12,0,1,1,1,0
4293,0,1,23,1,0,0,0,11,0,1,1,1,0
4294,1,0,30,1,0,0,0,34,1,4,4,1,0
4295,0,1,26,1,0,0,0,5,0,1,0,1,0
4296,1,0,23,1,0,0,0,27,1,3,3,1,0
4297,0,1,21,1,0,0,0,2,0,0,0,1,0
4298,1,0,28,1,0,0,0,12,1,0,4,1,0
4299,1,0,26,1,0,0,0,15,1,1,1,1,0
4300,0,1,26,1,0,0,0,12,1,0,4,1,0
4301,1,0,40,1,0,0,0,29,2,6,3,1,0
4302,0,1,23,1,0,0,0,17,0,1,1,1,0
4303,0,1,21,1,0,0,0,0,0,0,0,1,0
4304,0,1,66,1,0,0,0,32,1,1,5,1,0
4305,0,1,27,1,0,0,0,21,0,3,0,1,0
4306,0,1,21,1,0,0,0,9,0,0,1,1,0
4307,1,0,34,1,0,0,0,27,6,7,5,1,0
4308,0,1,43,1,0,0,0,22,2,10,7,1,0
4309,0,1,61,1,0,0,0,3,0,0,0,1,0
4310,0,1,20,1,0,0,0,5,0,0,0,1,0
4311,0,1,20,1,0,0,0,4,0,1,0,1,0
4312,1,0,37,1,0,0,0,7,0,0,1,1,0
4313,0,1,24,1,0,0,0,7,0,0,1,1,0
4314,0,1,30,1,0,0,0,46,9,6,7,1,0
4315,0,1,56,1,0,0,0,15,0,2,4,1,0
4316,1,0,46,1,0,0,0,54,5,16,12,1,0
4317,1,0,28,1,0,0,0,87,17,11,8,1,0
4318,0,1,37,1,0,0,0,23,2,3,4,1,0
4319,0,1,23,1,0,0,0,16,1,1,3,1,0
4320,1,0,22,1,0,0,0,33,5,9,7,1,0
4321,1,0,23,1,0,0,0,9,0,1,1,1,0
4322,1,0,31,1,0,0,0,29,2,6,5,1,0
4323,0,1,32,1,0,0,0,34,6,10,4,1,0
4324,1,0,23,1,0,0,0,27,0,6,4,1,0
4325,1,0,41,1,0,0,0,14,0,0,5,1,0
4326,0,1,29,1,0,0,0,39,1,11,10,1,0
4327,1,0,28,1,0,0,0,20,1,5,3,1,0
4328,1,0,27,1,0,0,0,22,2,5,5,1,0
4329,1,0,56,1,0,0,0,1,0,0,1,1,0
4330,1,0,20,1,0,0,0,10,0,0,0,1,0
4331,0,1,27,1,0,0,0,31,6,3,8,1,0
4332,0,1,24,1,0,0,0,18,3,2,1,1,0
4333,0,1,21,1,0,0,0,17,0,0,3,1,0
4334,1,0,28,1,0,0,0,3,0,0,0,1,0
4335,0,1,25,1,0,0,0,6,0,0,3,1,0
4336,1,0,45,1,0,0,0,18,5,4,3,1,0
4337,0,1,23,1,0,0,0,15,5,3,3,1,0
4338,0,1,28,1,0,0,0,3,0,0,1,1,0
4339,0,1,20,1,0,0,0,3,0,0,0,1,0
4340,0,1,22,1,0,0,0,6,0,0,4,1,0
4341,0,1,45,1,0,0,0,4,0,1,2,1,0
4342,0,1,21,1,0,0,0,13,5,4,4,1,0
4343,1,0,18,1,0,0,0,9,0,3,5,1,0
4344,0,1,21,1,0,0,0,7,1,2,4,1,0
4345,1,0,32,1,0,0,0,11,4,3,4,1,0
4346,1,0,23,1,0,0,0,6,0,2,4,1,0
4347,1,0,29,1,0,0,0,4,0,2,2,1,0
4348,0,1,37,1,0,0,0,2,0,0,2,1,0
4349,0,1,24,1,0,0,0,1,0,0,1,1,0
4350,1,0,62,1,0,0,0,11,1,8,2,1,0
4351,0,1,50,1,0,0,0,16,2,11,3,1,0
4352,1,0,19,1,0,0,0,18,4,9,3,1,0
4353,0,1,26,1,0,0,0,1,0,0,1,1,0
4354,0,1,34,1,0,0,0,41,8,25,2,1,0
4355,1,0,32,1,0,0,0,33,12,10,0,1,0
4356,1,0,31,1,0,0,0,7,3,0,0,1,0
4357,1,0,25,1,0,0,0,4,1,3,0,1,0
4358,0,1,46,1,0,0,0,5,2,3,0,1,0
4359,0,1,21,1,0,0,0,0,0,0,0,1,0
4360,0,1,26,1,0,0,0,15,8,6,0,1,0
4361,0,1,67,1,0,0,0,3,3,0,0,1,0
4362,1,0,26,1,0,0,0,18,9,0,0,1,0
4363,0,1,16,1,0,0,0,51,1,5,10,1,0
4364,0,1,68,1,0,0,0,44,1,1,1,1,0
4365,0,1,21,1,0,0,0,27,1,8,11,1,0
4366,1,0,45,1,0,0,0,10,2,0,0,1,0
4367,1,0,14,1,0,0,0,3,2,0,0,1,0
4368,1,0,50,1,0,0,0,8,4,0,0,1,0
4369,0,1,19,1,0,0,0,9,0,0,0,1,0
4370,1,0,37,1,0,0,2,20,0,0,0,1,0
4371,0,1,82,1,0,0,2,198,9,9,3,1,0
4372,1,0,25,1,0,0,2,125,2,4,6,1,0
4373,0,1,56,1,0,0,2,104,7,3,2,1,0
4374,1,0,54,1,0,0,2,282,1,12,16,1,0
4375,1,0,64,1,0,0,2,659,23,26,23,1,0
4376,1,0,69,1,0,0,2,60,0,1,4,1,0
4377,0,1,67,1,0,0,2,31,0,0,0,1,0
4378,1,0,77,1,0,0,2,177,4,2,5,1,0
4379,0,1,76,1,0,0,2,49,0,3,1,1,0
4380,0,1,43,1,0,0,2,47,1,2,1,1,0
4381,1,0,64,1,0,0,2,210,8,7,12,1,0
4382,1,0,71,1,0,0,2,249,0,0,3,1,0
4383,0,1,67,1,0,0,2,148,5,3,2,1,0
4384,0,1,64,1,0,0,2,268,5,5,11,1,0
4385,1,0,23,1,0,0,2,30,0,0,0,1,0
4386,1,0,41,1,0,0,2,2,0,0,0,1,0
4387,1,0,27,1,0,0,2,115,0,3,11,1,0
4388,0,1,56,1,0,0,2,43,0,0,0,1,0
4389,0,1,62,1,0,0,2,288,16,12,11,1,0
4390,0,1,50,1,0,0,2,96,1,0,2,1,0
4391,0,1,35,1,0,0,2,75,0,0,0,1,0
4392,0,1,57,1,0,0,2,102,1,3,2,1,0
4393,0,1,31,1,0,0,2,92,0,2,1,1,0
4394,0,1,46,1,0,0,2,61,1,1,1,1,0
4395,1,0,34,1,0,0,2,7,0,0,0,1,0
4396,1,0,29,1,0,0,2,40,0,2,0,1,0
4397,0,1,52,1,0,0,2,6,1,0,0,1,0
4398,0,1,25,1,0,0,2,266,5,5,8,1,0
4399,0,1,25,1,0,0,2,0,0,0,0,1,0
4400,0,1,44,1,0,0,2,160,2,4,0,1,0
4401,1,0,34,1,0,0,2,172,5,6,5,1,0
4402,0,1,56,1,0,0,2,109,1,5,4,1,0
4403,1,0,59,1,0,0,2,28,2,1,0,1,0
4404,1,0,64,1,0,0,2,257,5,8,3,1,0
4405,0,1,52,1,0,0,2,526,22,22,20,1,0
4223,0,1,73,0,1,0,2,182,3,6,7,1,0
4224,0,1,65,0,1,0,2,346,12,12,17,1,0
4225,0,1,89,0,1,0,2,47,0,0,0,1,0
4226,0,1,65,0,1,0,2,37,0,1,0,1,0
4227,0,1,49,0,1,0,2,87,2,6,6,1,0
4228,0,1,63,0,1,0,2,87,0,2,4,1,0
4229,0,1,23,0,0,1,0,1,0,0,0,1,0
4230,0,1,68,0,0,1,2,438,24,23,24,1,0
4231,1,0,53,0,0,1,2,320,17,10,15,1,0
4232,1,0,41,1,0,0,2,142,9,12,11,1,0
4233,0,1,61,1,0,0,2,57,1,1,2,1,0
4234,1,0,60,1,0,0,2,79,0,0,0,1,0
4235,0,1,48,1,0,0,1,247,12,10,9,1,0
4236,0,1,41,1,0,0,1,8,0,0,0,1,0
4237,0,1,64,1,0,0,1,36,1,0,2,1,0
4238,0,1,26,1,0,0,2,27,0,0,1,1,0
4239,1,0,28,1,0,0,1,26,0,2,3,1,0
4240,0,1,25,1,0,0,1,5,0,0,1,1,0
4241,1,0,34,1,0,0,1,66,1,0,0,1,0
4242,0,1,34,1,0,0,1,7,0,0,0,1,0
4243,1,0,31,1,0,0,1,49,0,1,3,1,0
4244,1,0,45,1,0,0,1,84,2,2,3,1,0
4245,1,0,21,1,0,0,1,23,0,2,0,1,0
4246,1,0,33,1,0,0,1,103,7,4,7,1,0
4247,1,0,41,1,0,0,1,63,6,4,3,1,0
4248,1,0,26,1,0,0,1,27,2,1,0,1,0
4249,0,1,32,1,0,0,1,69,3,8,3,1,0
4250,1,0,33,1,0,0,1,49,1,0,4,1,0
4251,1,0,41,1,0,0,1,100,1,1,3,1,0
4252,0,1,21,1,0,0,1,25,0,3,0,1,0
4253,0,1,24,1,0,0,1,23,0,0,2,1,0
4254,1,0,36,1,0,0,1,22,0,0,0,1,0
4255,1,0,28,1,0,0,1,23,0,0,1,1,0
4256,1,0,32,1,0,0,1,113,5,8,7,1,0
4257,1,0,29,1,0,0,1,35,0,1,0,1,0
4258,0,1,25,1,0,0,1,64,6,3,3,1,0
4259,0,1,40,1,0,0,1,66,1,4,5,1,0
4260,1,0,21,1,0,0,1,35,0,1,2,1,0
4261,0,1,62,1,0,0,1,3,0,0,0,1,0
4262,0,1,28,1,0,0,0,3,0,0,0,1,0
